,,OOB_11_17,OOB_01_18,OOB_11_18,OOB_11_20
1,,0.028368794,0.11827957,0.125,0.098130841
2,,0.035242291,0.105960265,0.1,0.101694915
3,,0.028268551,0.103825137,0.093484419,0.085846868
4,,0.041009464,0.107981221,0.081632653,0.088842975
5,,0.02994012,0.088105727,0.087264151,0.075144509
6,,0.025423729,0.104166667,0.086560364,0.073800738
7,,0.030136986,0.116935484,0.082969432,0.068468468
8,,0.027173913,0.106719368,0.074468085,0.066666667
9,,0.024390244,0.09765625,0.071578947,0.063793103
10,,0.016172507,0.08984375,0.067226891,0.054700855
11,,0.01344086,0.09765625,0.06918239,0.052991453
12,,0.013333333,0.093385214,0.064989518,0.052901024
13,,0.010638298,0.093385214,0.067085954,0.045996593
14,,0.013297872,0.081712062,0.066945607,0.045996593
15,,0.010638298,0.077821012,0.069037657,0.045996593
16,,0.013297872,0.081712062,0.066945607,0.045996593
17,,0.015957447,0.081712062,0.066945607,0.044293015
18,,0.015873016,0.081712062,0.060669456,0.039182283
19,,0.013227513,0.073929961,0.060669456,0.039182283
20,,0.013227513,0.070038911,0.062761506,0.04088586
21,,0.010582011,0.081712062,0.062761506,0.037478705
22,,0.010582011,0.077821012,0.060669456,0.035775128
23,,0.007936508,0.073929961,0.058577406,0.035775128
24,,0.010582011,0.06614786,0.056485356,0.039182283
25,,0.007936508,0.070038911,0.054393305,0.03407155
26,,0.007936508,0.06614786,0.056485356,0.035775128
27,,0.007936508,0.070038911,0.054393305,0.03407155
28,,0.007936508,0.073929961,0.054393305,0.039182283
29,,0.007936508,0.073929961,0.052301255,0.035775128
30,,0.007936508,0.077821012,0.052301255,0.035775128
31,,0.007936508,0.073929961,0.052301255,0.035775128
32,,0.007936508,0.070038911,0.052301255,0.030664395
33,,0.007936508,0.070038911,0.052301255,0.037478705
34,,0.007936508,0.073929961,0.052301255,0.04088586
35,,0.010582011,0.070038911,0.052301255,0.035775128
36,,0.010582011,0.073929961,0.052301255,0.032367973
37,,0.007936508,0.077821012,0.052301255,0.030664395
38,,0.010582011,0.077821012,0.052301255,0.03407155
39,,0.007936508,0.070038911,0.050209205,0.035775128
40,,0.007936508,0.062256809,0.050209205,0.03407155
41,,0.007936508,0.06614786,0.050209205,0.03407155
42,,0.007936508,0.062256809,0.050209205,0.030664395
43,,0.010582011,0.070038911,0.050209205,0.032367973
44,,0.010582011,0.070038911,0.050209205,0.03407155
45,,0.007936508,0.070038911,0.050209205,0.03407155
46,,0.007936508,0.06614786,0.050209205,0.03407155
47,,0.007936508,0.062256809,0.048117155,0.03407155
48,,0.007936508,0.073929961,0.048117155,0.032367973
49,,0.007936508,0.070038911,0.050209205,0.032367973
50,,0.013227513,0.06614786,0.048117155,0.03407155
51,,0.010582011,0.070038911,0.048117155,0.03407155
52,,0.013227513,0.06614786,0.048117155,0.032367973
53,,0.013227513,0.06614786,0.048117155,0.030664395
54,,0.010582011,0.06614786,0.048117155,0.032367973
55,,0.010582011,0.06614786,0.048117155,0.03407155
56,,0.013227513,0.06614786,0.046025105,0.032367973
57,,0.013227513,0.062256809,0.048117155,0.032367973
58,,0.013227513,0.062256809,0.048117155,0.03407155
59,,0.007936508,0.062256809,0.050209205,0.035775128
60,,0.010582011,0.062256809,0.050209205,0.03407155
61,,0.010582011,0.06614786,0.050209205,0.035775128
62,,0.010582011,0.06614786,0.050209205,0.03407155
63,,0.010582011,0.070038911,0.050209205,0.03407155
64,,0.010582011,0.070038911,0.048117155,0.03407155
65,,0.010582011,0.06614786,0.048117155,0.03407155
66,,0.007936508,0.06614786,0.048117155,0.03407155
67,,0.007936508,0.070038911,0.048117155,0.035775128
68,,0.010582011,0.070038911,0.048117155,0.03407155
69,,0.010582011,0.070038911,0.048117155,0.03407155
70,,0.007936508,0.070038911,0.048117155,0.032367973
71,,0.010582011,0.070038911,0.048117155,0.032367973
72,,0.010582011,0.06614786,0.048117155,0.03407155
73,,0.010582011,0.06614786,0.048117155,0.030664395
74,,0.010582011,0.06614786,0.048117155,0.030664395
75,,0.010582011,0.06614786,0.048117155,0.028960818
76,,0.013227513,0.06614786,0.048117155,0.030664395
77,,0.013227513,0.06614786,0.048117155,0.030664395
78,,0.013227513,0.06614786,0.048117155,0.030664395
79,,0.013227513,0.06614786,0.048117155,0.028960818
80,,0.013227513,0.06614786,0.048117155,0.02725724
81,,0.010582011,0.06614786,0.048117155,0.028960818
82,,0.013227513,0.06614786,0.048117155,0.030664395
83,,0.010582011,0.070038911,0.046025105,0.028960818
84,,0.013227513,0.070038911,0.046025105,0.02725724
85,,0.013227513,0.070038911,0.046025105,0.030664395
86,,0.013227513,0.070038911,0.046025105,0.028960818
87,,0.013227513,0.070038911,0.046025105,0.02725724
88,,0.013227513,0.070038911,0.046025105,0.02725724
89,,0.010582011,0.070038911,0.046025105,0.02725724
90,,0.013227513,0.070038911,0.048117155,0.025553663
91,,0.010582011,0.070038911,0.048117155,0.02725724
92,,0.010582011,0.070038911,0.048117155,0.02725724
93,,0.010582011,0.070038911,0.048117155,0.02725724
94,,0.013227513,0.070038911,0.048117155,0.02725724
95,,0.010582011,0.070038911,0.048117155,0.02725724
96,,0.010582011,0.070038911,0.048117155,0.028960818
97,,0.010582011,0.06614786,0.048117155,0.028960818
98,,0.010582011,0.06614786,0.048117155,0.028960818
99,,0.010582011,0.062256809,0.046025105,0.028960818
100,,0.010582011,0.06614786,0.046025105,0.02725724
101,,0.010582011,0.070038911,0.046025105,0.02725724
102,,0.010582011,0.070038911,0.046025105,0.02725724
103,,0.010582011,0.070038911,0.046025105,0.02725724
104,,0.010582011,0.070038911,0.046025105,0.02725724
105,,0.010582011,0.06614786,0.046025105,0.02725724
106,,0.010582011,0.06614786,0.046025105,0.025553663
107,,0.010582011,0.06614786,0.046025105,0.02725724
108,,0.010582011,0.06614786,0.046025105,0.02725724
109,,0.010582011,0.06614786,0.046025105,0.025553663
110,,0.010582011,0.06614786,0.046025105,0.025553663
111,,0.010582011,0.06614786,0.046025105,0.025553663
112,,0.010582011,0.06614786,0.046025105,0.02725724
113,,0.010582011,0.06614786,0.046025105,0.02725724
114,,0.010582011,0.06614786,0.046025105,0.025553663
115,,0.010582011,0.06614786,0.046025105,0.02725724
116,,0.010582011,0.06614786,0.046025105,0.025553663
117,,0.010582011,0.06614786,0.046025105,0.025553663
118,,0.010582011,0.06614786,0.046025105,0.025553663
119,,0.010582011,0.06614786,0.046025105,0.02725724
120,,0.010582011,0.06614786,0.048117155,0.025553663
