Wavelength,NPV_1,NPV_2,NPV_3,NPV_4
490,527,525,538,510
560,756,760,771,757
665,1142,1092,1042,1130
705,1358,1359,1227,1328
740,1544.999878,1481,1383,1547
786,1756.000122,1624.000122,1509.000122,1782.999878
842,1747.999878,1722,1560,1712.000122
865,2090,1939,1756.000122,2107
1610,2570,2578.000244,2521,2393
2190,1775,1819,1826.000122,1664
