date,mtry,Accuracy,Kappa,AccuracySD,KappaSD
Nov-20,2,0.97091954,0.962978816,0.030354405,0.038614376
Nov-20,4,0.964079434,0.954290824,0.027408616,0.034838925
Nov-20,7,0.957151609,0.945506729,0.029623843,0.037593468
Nov-20,,,,,
