Wavelength,Soil_1,Soil_2,Soil_3,Soil_4
490,866,529,1564,1038
560,1150,775,2008,1430.000122
665,1478,1016,2154,1600
705,1552,1116,2090,1863
740,1600,1169,2127,2078
786,1705,1267,2252,2200
842,1810,1307.999878,2302,2036
865,1878,1331,2268,2299
1610,2195,1497,2534,2401
2190,1791.999878,1130,2261,2107
